epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3445.99,0.40325,0.8964,0.98435,0.66269,0.45428,0.5045,0.45722,0.62774,1.10153,0.62454,0.000735204,0.000735204,0.000735204
43,3533.01,0.40114,0.91437,0.98538,0.74523,0.44814,0.50747,0.46144,0.59185,1.0161,0.60722,0.000726038,0.000726038,0.000726038
44,3617.45,0.41113,0.90579,0.98751,0.6824,0.42171,0.49157,0.44898,0.60491,1.1381,0.62379,0.000716873,0.000716873,0.000716873
45,3705.5,0.41375,0.89417,0.99081,0.71988,0.42895,0.50406,0.45618,0.61237,1.15107,0.62758,0.000707707,0.000707707,0.000707707
46,3793.56,0.41347,0.89857,0.97585,0.75101,0.42866,0.49926,0.45981,0.60633,1.09871,0.63692,0.000698541,0.000698541,0.000698541
47,3879.62,0.40905,0.86706,0.98295,0.69298,0.4695,0.51764,0.47162,0.60586,1.05641,0.61351,0.000689376,0.000689376,0.000689376
48,3966.66,0.409,0.89081,0.98338,0.60064,0.46642,0.50924,0.45397,0.60853,1.06028,0.63209,0.00068021,0.00068021,0.00068021
49,4051.45,0.42354,0.91363,0.9895,0.80127,0.42825,0.51228,0.46716,0.61687,1.0763,0.62419,0.000671044,0.000671044,0.000671044
50,4136.02,0.39585,0.85584,0.97619,0.77628,0.44692,0.51335,0.46898,0.58532,1.03784,0.59794,0.000661878,0.000661878,0.000661878
51,4221.9,0.40645,0.86965,0.98077,0.72979,0.45016,0.51877,0.47257,0.6044,1.03436,0.608,0.000652712,0.000652712,0.000652712
52,4310.16,0.40561,0.87196,0.97421,0.68629,0.45593,0.51399,0.46722,0.62908,1.0378,0.63035,0.000643547,0.000643547,0.000643547
53,4397.6,0.39958,0.85339,0.97538,0.75503,0.45231,0.52818,0.47832,0.57113,0.98159,0.57525,0.000634381,0.000634381,0.000634381
54,4484.99,0.39703,0.83958,0.97391,0.67841,0.46246,0.51779,0.47062,0.5803,1.03374,0.58867,0.000625215,0.000625215,0.000625215
55,4571.03,0.40306,0.85133,0.97728,0.78199,0.44136,0.51348,0.46499,0.61438,1.03803,0.61387,0.000616049,0.000616049,0.000616049
56,4658.17,0.39984,0.82311,0.97247,0.78321,0.43614,0.51432,0.47063,0.59937,1.01821,0.59869,0.000606884,0.000606884,0.000606884
57,4745.24,0.40412,0.84164,0.97287,0.7611,0.46667,0.53289,0.48449,0.59671,0.96748,0.62128,0.000597718,0.000597718,0.000597718
58,4833.54,0.38978,0.78877,0.9663,0.67482,0.4762,0.52066,0.46934,0.57598,1.0406,0.57382,0.000588552,0.000588552,0.000588552
59,4920.74,0.39487,0.81724,0.97363,0.67784,0.46298,0.51161,0.46285,0.58545,1.05568,0.59779,0.000579386,0.000579386,0.000579386
60,5006.46,0.38068,0.80581,0.9667,0.71923,0.46165,0.52049,0.47134,0.60556,1.04518,0.61966,0.000570221,0.000570221,0.000570221
61,5093.96,0.38417,0.7941,0.9662,0.76412,0.45655,0.52339,0.47589,0.59284,1.01469,0.60255,0.000561055,0.000561055,0.000561055
62,5177.35,0.38677,0.79498,0.96243,0.72257,0.47674,0.53405,0.48669,0.60121,1.01568,0.62426,0.000551889,0.000551889,0.000551889
63,5258.63,0.39374,0.80147,0.96885,0.78838,0.45775,0.53305,0.48206,0.58234,0.94217,0.59329,0.000542723,0.000542723,0.000542723
64,5340.11,0.38341,0.79058,0.96586,0.71516,0.47331,0.52768,0.48285,0.57092,0.9892,0.58005,0.000533558,0.000533558,0.000533558
65,5423.78,0.39154,0.78647,0.97169,0.76251,0.46473,0.52844,0.4808,0.58512,1.0112,0.60039,0.000524392,0.000524392,0.000524392
66,5508.18,0.37522,0.77826,0.96637,0.74799,0.46591,0.53146,0.48358,0.58504,0.97155,0.58959,0.000515226,0.000515226,0.000515226
67,5590.69,0.37344,0.78221,0.96473,0.69795,0.48625,0.54092,0.48923,0.58496,0.98564,0.60308,0.00050606,0.00050606,0.00050606
