epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1372.68,1.05726,1.15982,1.13565,0.54706,0.47711,0.50295,0.35686,1.25264,1.86871,1.28851,0.000735204,0.000735204,0.000735204
43,1404.87,1.06324,1.15613,1.13313,0.5656,0.52301,0.52344,0.37964,1.16318,1.58792,1.24272,0.000726038,0.000726038,0.000726038
44,1436.78,1.04414,1.13245,1.12702,0.5839,0.52543,0.55373,0.39652,1.19183,1.53873,1.25778,0.000716873,0.000716873,0.000716873
45,1468.64,1.05162,1.14964,1.13164,0.57812,0.52655,0.55156,0.39678,1.16773,1.51156,1.2334,0.000707707,0.000707707,0.000707707
46,1500.7,1.041,1.12769,1.12052,0.65684,0.47001,0.55836,0.40005,1.16965,1.51227,1.23894,0.000698541,0.000698541,0.000698541
47,1532.31,1.03178,1.10587,1.11593,0.66511,0.48689,0.56308,0.40529,1.15256,1.53424,1.23564,0.000689376,0.000689376,0.000689376
48,1564.2,1.029,1.10005,1.11479,0.58675,0.52395,0.54941,0.39356,1.20646,1.53109,1.26949,0.00068021,0.00068021,0.00068021
49,1596.25,1.04104,1.11233,1.12457,0.63298,0.53692,0.57786,0.42217,1.11734,1.4219,1.2087,0.000671044,0.000671044,0.000671044
50,1628.47,1.02595,1.09512,1.10799,0.66234,0.52269,0.57073,0.41263,1.14824,1.51575,1.21746,0.000661878,0.000661878,0.000661878
51,1660.45,1.02849,1.09075,1.11904,0.54521,0.52063,0.5384,0.38133,1.1961,1.60735,1.25038,0.000652712,0.000652712,0.000652712
52,1692.67,1.03447,1.09905,1.12199,0.64909,0.47779,0.53091,0.37719,1.19667,1.56457,1.26302,0.000643547,0.000643547,0.000643547
53,1724.95,1.02395,1.07639,1.11272,0.60022,0.48956,0.53995,0.39201,1.16464,1.55922,1.24625,0.000634381,0.000634381,0.000634381
54,1756.69,1.00899,1.06657,1.09828,0.57101,0.53233,0.562,0.40766,1.14675,1.52861,1.22122,0.000625215,0.000625215,0.000625215
55,1788.08,1.00072,1.05766,1.09866,0.5818,0.52067,0.54994,0.38488,1.24262,1.58504,1.26565,0.000616049,0.000616049,0.000616049
56,1820.77,1.0111,1.07274,1.10732,0.58051,0.48046,0.52407,0.3752,1.22438,1.70337,1.2625,0.000606884,0.000606884,0.000606884
57,1852.96,1.01772,1.05927,1.10965,0.6124,0.52389,0.56945,0.414,1.15442,1.54871,1.23083,0.000597718,0.000597718,0.000597718
58,1885.44,1.01983,1.06807,1.10596,0.58884,0.53452,0.57518,0.41921,1.12317,1.4231,1.21211,0.000588552,0.000588552,0.000588552
59,1917.36,1.00706,1.04357,1.10555,0.58029,0.52085,0.5538,0.40454,1.1495,1.59836,1.24265,0.000579386,0.000579386,0.000579386
60,1949.49,1.00604,1.05206,1.10017,0.60594,0.53319,0.56948,0.41195,1.15,1.4918,1.24216,0.000570221,0.000570221,0.000570221
61,1980.99,0.98823,1.02245,1.09139,0.59897,0.52573,0.56518,0.4125,1.16526,1.52068,1.24614,0.000561055,0.000561055,0.000561055
62,2013.09,0.99981,1.02591,1.10052,0.61885,0.48816,0.54798,0.39689,1.16097,1.52617,1.24291,0.000551889,0.000551889,0.000551889
63,2044.84,0.99565,1.01547,1.09172,0.62346,0.55633,0.58649,0.43061,1.13233,1.42933,1.22286,0.000542723,0.000542723,0.000542723
