epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2579.79,0.70768,1.04005,0.95786,0.34638,0.33937,0.29733,0.23804,0.87028,1.65844,1.08301,0.000660045,0.000660045,0.000660045
43,2640.74,0.69875,1.01501,0.95196,0.50303,0.32314,0.3371,0.27553,0.83042,1.53965,1.05187,0.000649046,0.000649046,0.000649046
44,2703.35,0.70688,1.00251,0.96145,0.36176,0.37867,0.32544,0.2624,0.84561,1.5475,1.06065,0.000638047,0.000638047,0.000638047
45,2765.07,0.69322,1.00305,0.96182,0.43712,0.34247,0.33622,0.28126,0.82231,1.46231,1.04393,0.000627048,0.000627048,0.000627048
46,2826.65,0.6904,0.95933,0.95184,0.52663,0.31699,0.30867,0.2461,0.8351,1.61156,1.05313,0.000616049,0.000616049,0.000616049
47,2888.44,0.70032,0.96559,0.95541,0.41855,0.32,0.32111,0.2593,0.84503,1.51619,1.05818,0.000605051,0.000605051,0.000605051
48,2948.82,0.68626,0.97714,0.94981,0.42063,0.35294,0.33653,0.27368,0.82134,1.49508,1.043,0.000594052,0.000594052,0.000594052
49,3010.22,0.68278,0.94669,0.95,0.43066,0.36861,0.33828,0.27522,0.83342,1.45454,1.05273,0.000583053,0.000583053,0.000583053
50,3071.56,0.66698,0.9366,0.94682,0.42428,0.33872,0.32241,0.25803,0.81396,1.49913,1.05234,0.000572054,0.000572054,0.000572054
51,3132.45,0.67985,0.93897,0.94373,0.44163,0.33685,0.32943,0.27281,0.82595,1.61216,1.03848,0.000561055,0.000561055,0.000561055
52,3194.04,0.6616,0.92358,0.9374,0.48753,0.32968,0.3425,0.281,0.82617,1.52112,1.04415,0.000550056,0.000550056,0.000550056
53,3257.06,0.68031,0.89955,0.9507,0.46316,0.29596,0.31301,0.25603,0.84701,1.63972,1.06698,0.000539057,0.000539057,0.000539057
54,3318.39,0.66548,0.91034,0.94558,0.41196,0.32117,0.32314,0.26591,0.81467,1.52036,1.05302,0.000528058,0.000528058,0.000528058
55,3379.16,0.68684,0.91467,0.94654,0.43756,0.33631,0.32406,0.26611,0.82013,1.49745,1.05727,0.000517059,0.000517059,0.000517059
56,3440.22,0.67618,0.90841,0.94156,0.36538,0.36568,0.31914,0.26168,0.81172,1.52545,1.05505,0.00050606,0.00050606,0.00050606
57,3501.38,0.65469,0.87814,0.94284,0.40657,0.3241,0.31288,0.25555,0.80973,1.55579,1.05779,0.000495062,0.000495062,0.000495062
58,3562.68,0.65622,0.871,0.94035,0.39799,0.34855,0.33149,0.271,0.83557,1.53603,1.07194,0.000484063,0.000484063,0.000484063
59,3622.82,0.65863,0.87206,0.94073,0.36112,0.36933,0.31903,0.25647,0.83338,1.46936,1.07593,0.000473064,0.000473064,0.000473064
60,3684.52,0.64596,0.83282,0.93263,0.40694,0.34733,0.32819,0.26932,0.83131,1.53178,1.05504,0.000462065,0.000462065,0.000462065
