epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,5648.45,0.86764,1.31088,1.13613,0.53499,0.41608,0.45601,0.34631,0.875,1.32327,0.99961,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,5828.46,0.85939,1.29237,1.13672,0.53191,0.40586,0.44463,0.33328,0.93086,1.37892,1.02416,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,6005.02,0.86576,1.29858,1.13255,0.55539,0.40197,0.46559,0.35741,0.85467,1.3085,0.97438,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,6185.62,0.86742,1.30089,1.1354,0.56944,0.42941,0.48146,0.36572,0.87267,1.284,0.98798,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,6362.79,0.84816,1.27357,1.12918,0.55974,0.44381,0.47636,0.36319,0.87815,1.30871,0.99611,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,6541.15,0.84899,1.27233,1.12206,0.56094,0.44517,0.4851,0.37224,0.8579,1.25993,0.97843,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,6721.61,0.85168,1.26042,1.12865,0.58672,0.44314,0.4848,0.36665,0.86082,1.28068,0.97624,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,6903.54,0.83984,1.25145,1.12248,0.59283,0.42902,0.4795,0.36926,0.84964,1.24888,0.96314,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,7082.09,0.85143,1.23919,1.1221,0.56862,0.46104,0.48675,0.37606,0.84817,1.24862,0.97712,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,7265.49,0.83517,1.23719,1.11367,0.57128,0.46244,0.50152,0.3876,0.83685,1.2113,0.96831,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,7445.52,0.83101,1.22083,1.11155,0.55583,0.4756,0.50586,0.3891,0.83649,1.21429,0.96057,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,7624.26,0.82438,1.20655,1.11265,0.60132,0.44682,0.50759,0.39047,0.83024,1.19873,0.9584,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
43,7803.52,0.82193,1.21536,1.10911,0.56729,0.47738,0.51503,0.397,0.84245,1.19754,0.96523,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
44,7981.22,0.8242,1.20168,1.10781,0.5642,0.48987,0.51686,0.40101,0.83127,1.17754,0.95596,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
45,8160.9,0.80874,1.19314,1.10531,0.58579,0.47297,0.51687,0.3998,0.82012,1.17803,0.94976,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,8341.32,0.83139,1.21325,1.10856,0.56037,0.50126,0.51937,0.4031,0.82212,1.17667,0.9523,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,8524.66,0.82193,1.19065,1.10529,0.59838,0.48356,0.51778,0.39981,0.82777,1.17488,0.9513,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,8702.76,0.81266,1.17741,1.09973,0.59955,0.47197,0.52007,0.40367,0.82262,1.16827,0.94508,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,8880.7,0.81634,1.18108,1.10419,0.62806,0.47651,0.52781,0.41243,0.8112,1.15672,0.94248,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,9057.77,0.80845,1.1576,1.09174,0.6097,0.49227,0.53732,0.41664,0.81401,1.1487,0.94082,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,9236.97,0.80094,1.16174,1.09829,0.58588,0.506,0.53467,0.4145,0.80761,1.14433,0.94486,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,9418.57,0.79702,1.15721,1.08955,0.60246,0.50554,0.53744,0.41903,0.79936,1.12282,0.93624,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,9599.51,0.8049,1.14389,1.09454,0.6119,0.48611,0.53421,0.41372,0.81099,1.13834,0.94021,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,9784.26,0.79701,1.14309,1.09158,0.58614,0.49781,0.54001,0.42051,0.80024,1.12603,0.93203,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,9963.99,0.7927,1.13767,1.09058,0.60225,0.50109,0.54318,0.42089,0.80067,1.11637,0.93741,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,10144.3,0.79055,1.12644,1.08841,0.65482,0.46382,0.53846,0.42017,0.79928,1.12889,0.93297,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,10326.5,0.79296,1.12156,1.08572,0.62923,0.48202,0.54591,0.42431,0.79605,1.10978,0.93159,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,10504.3,0.773,1.10615,1.07613,0.63819,0.48342,0.54837,0.4258,0.78985,1.10663,0.92405,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
59,10688.3,0.7833,1.11395,1.08083,0.63443,0.49412,0.54693,0.42598,0.80364,1.11274,0.93264,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
60,10867.2,0.77727,1.08752,1.07382,0.59398,0.50942,0.5493,0.43053,0.78922,1.0976,0.92339,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325,0.0153975,0.0051325
61,11051,0.78485,1.11007,1.08125,0.59564,0.52305,0.55239,0.43039,0.79072,1.10169,0.92459,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,11228.8,0.77833,1.09882,1.07551,0.59666,0.53017,0.55855,0.43578,0.78057,1.08409,0.92082,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675,0.0149025,0.0049675
63,11405.9,0.77938,1.09873,1.07951,0.62726,0.51931,0.56123,0.43867,0.78768,1.08467,0.92731,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
64,11584.2,0.77577,1.08307,1.07806,0.61118,0.51829,0.55888,0.43611,0.79076,1.08444,0.92847,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
65,11763.3,0.78162,1.08183,1.07598,0.62593,0.5147,0.55795,0.43599,0.79141,1.08453,0.92959,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
66,11942.9,0.77548,1.06923,1.07051,0.6238,0.5235,0.56258,0.43916,0.78673,1.06777,0.92777,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375,0.0139125,0.0046375
