epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5031.8,0.71059,1.04454,0.96314,0.46854,0.33211,0.33177,0.27028,0.81436,1.50757,1.04743,0.000660045,0.000660045,0.000660045
43,5151.94,0.68638,1.00005,0.94976,0.50137,0.359,0.36433,0.30442,0.78144,1.37868,1.02484,0.000649046,0.000649046,0.000649046
44,5271,0.69426,1.01559,0.95467,0.4952,0.3333,0.35623,0.29333,0.79615,1.39593,1.03383,0.000638047,0.000638047,0.000638047
45,5388.99,0.70177,1.01201,0.95617,0.4472,0.36526,0.36696,0.30449,0.79016,1.39972,1.02134,0.000627048,0.000627048,0.000627048
46,5505.96,0.68519,0.96277,0.95742,0.42051,0.37762,0.35927,0.2947,0.8079,1.39999,1.0426,0.000616049,0.000616049,0.000616049
47,5623.51,0.69472,0.99803,0.95064,0.41623,0.36929,0.36288,0.29545,0.79839,1.39879,1.02858,0.000605051,0.000605051,0.000605051
48,5742.77,0.68959,0.97367,0.9442,0.46116,0.36926,0.37581,0.30871,0.79042,1.36509,1.02606,0.000594052,0.000594052,0.000594052
49,5860.67,0.66546,0.94651,0.94905,0.46703,0.38664,0.37671,0.31171,0.78241,1.38643,1.01806,0.000583053,0.000583053,0.000583053
50,5977.08,0.68514,0.93673,0.95438,0.52632,0.34211,0.35737,0.29461,0.79732,1.42562,1.03302,0.000572054,0.000572054,0.000572054
51,6094.92,0.68109,0.95452,0.94213,0.44714,0.3955,0.37552,0.30857,0.77165,1.36939,1.02617,0.000561055,0.000561055,0.000561055
52,6211.57,0.68211,0.94165,0.94077,0.48813,0.35726,0.37945,0.31025,0.78586,1.37334,1.02018,0.000550056,0.000550056,0.000550056
53,6330.71,0.68206,0.92442,0.94642,0.47874,0.35986,0.37329,0.30864,0.76801,1.35985,1.01313,0.000539057,0.000539057,0.000539057
54,6449.71,0.67819,0.91452,0.94009,0.529,0.34052,0.37475,0.30958,0.78536,1.36414,1.02137,0.000528058,0.000528058,0.000528058
55,6569.63,0.66201,0.89835,0.94887,0.4151,0.3738,0.34986,0.28508,0.78938,1.4169,1.02751,0.000517059,0.000517059,0.000517059
56,6691.77,0.65911,0.87768,0.93998,0.47388,0.35757,0.36212,0.3014,0.77975,1.41211,1.02165,0.00050606,0.00050606,0.00050606
57,6812.97,0.6551,0.86584,0.93879,0.51052,0.3462,0.36771,0.30521,0.78136,1.38548,1.0286,0.000495062,0.000495062,0.000495062
58,6935.03,0.66489,0.88726,0.94302,0.50456,0.34525,0.37485,0.30881,0.75466,1.3703,1.00451,0.000484063,0.000484063,0.000484063
59,7056.94,0.6707,0.89301,0.93569,0.54479,0.35621,0.37395,0.31343,0.76152,1.39499,1.00441,0.000473064,0.000473064,0.000473064
60,7175.83,0.66266,0.8532,0.93814,0.55651,0.33945,0.37925,0.32213,0.75868,1.35658,1.0105,0.000462065,0.000462065,0.000462065
61,7298.25,0.63963,0.83051,0.93314,0.50276,0.32258,0.36131,0.30011,0.7692,1.37465,1.0198,0.000451066,0.000451066,0.000451066
62,7419.36,0.64912,0.85658,0.93215,0.52608,0.32947,0.3501,0.29159,0.75864,1.48182,1.01008,0.000440067,0.000440067,0.000440067
63,7540.16,0.63097,0.83502,0.9333,0.48807,0.34684,0.36572,0.30995,0.75778,1.37483,1.00919,0.000429068,0.000429068,0.000429068
64,7661.63,0.63098,0.80888,0.92449,0.45085,0.35555,0.36254,0.30247,0.76828,1.42002,1.01791,0.000418069,0.000418069,0.000418069
65,7782.99,0.63056,0.78735,0.92452,0.51301,0.34992,0.36133,0.301,0.75459,1.379,1.00596,0.00040707,0.00040707,0.00040707
66,7904.12,0.6271,0.7745,0.92703,0.46197,0.36644,0.37751,0.31545,0.77339,1.38656,1.01552,0.000396071,0.000396071,0.000396071
67,8024.25,0.64787,0.79916,0.93083,0.52576,0.33158,0.36996,0.30952,0.75367,1.39818,1.00811,0.000385073,0.000385073,0.000385073
68,8143.08,0.6282,0.75944,0.92597,0.4798,0.37284,0.3825,0.32282,0.74876,1.34581,1.00604,0.000374074,0.000374074,0.000374074
69,8262.63,0.62487,0.77753,0.9241,0.49216,0.3635,0.37709,0.31645,0.75744,1.36786,1.0117,0.000363075,0.000363075,0.000363075
70,8383.58,0.62032,0.776,0.91901,0.60522,0.32523,0.37481,0.31468,0.7647,1.38087,1.01009,0.000352076,0.000352076,0.000352076
71,8500.9,0.61443,0.76099,0.91774,0.525,0.35338,0.37394,0.31334,0.74926,1.3909,1.00935,0.000341077,0.000341077,0.000341077
72,8617.42,0.64432,0.75806,0.93292,0.47125,0.36642,0.37411,0.31615,0.74218,1.3813,1.00296,0.000330078,0.000330078,0.000330078
73,8732.54,0.62243,0.7545,0.92576,0.48807,0.36697,0.377,0.31813,0.74721,1.33759,1.0021,0.000319079,0.000319079,0.000319079
74,8851.3,0.60852,0.73006,0.9167,0.48153,0.38318,0.38427,0.32261,0.7465,1.3499,1.01166,0.00030808,0.00030808,0.00030808
75,8972.8,0.60092,0.72368,0.91347,0.49327,0.36403,0.38495,0.32634,0.74288,1.33595,0.99493,0.000297081,0.000297081,0.000297081
76,9093.33,0.61975,0.72464,0.92627,0.52215,0.35451,0.3816,0.32296,0.74578,1.34472,1.00305,0.000286083,0.000286083,0.000286083
77,9212.57,0.6057,0.71906,0.91888,0.50559,0.37268,0.38268,0.32197,0.74432,1.34552,1.00117,0.000275084,0.000275084,0.000275084
78,9330.95,0.6062,0.71676,0.9136,0.54624,0.3462,0.38412,0.32254,0.74618,1.34081,1.0089,0.000264085,0.000264085,0.000264085
79,9449.12,0.59501,0.6882,0.91053,0.5612,0.36301,0.38731,0.32575,0.74089,1.336,1.00625,0.000253086,0.000253086,0.000253086
80,9567.92,0.60799,0.69554,0.91311,0.53567,0.36285,0.39347,0.33211,0.74128,1.34231,1.0003,0.000242087,0.000242087,0.000242087
81,9684.91,0.57525,0.6636,0.90987,0.53504,0.35483,0.38639,0.3234,0.73745,1.32873,1.00197,0.000231088,0.000231088,0.000231088
82,9804.02,0.58498,0.6629,0.90946,0.48979,0.3862,0.38225,0.32064,0.74407,1.36445,1.00532,0.000220089,0.000220089,0.000220089
83,9922.81,0.59638,0.68547,0.91086,0.48587,0.36713,0.37488,0.3155,0.73699,1.35353,0.99948,0.00020909,0.00020909,0.00020909
84,10042,0.60027,0.67781,0.91128,0.56347,0.35494,0.39307,0.33171,0.73119,1.32385,0.99577,0.000198091,0.000198091,0.000198091
85,10158.6,0.58493,0.66239,0.90838,0.58405,0.34666,0.38786,0.32522,0.7329,1.32481,0.99906,0.000187092,0.000187092,0.000187092
86,10276.8,0.58469,0.64628,0.90412,0.56491,0.35073,0.38738,0.32631,0.73758,1.35737,1.00404,0.000176094,0.000176094,0.000176094
87,10395.1,0.5712,0.63682,0.89968,0.57526,0.35418,0.38931,0.32615,0.72738,1.33915,0.99434,0.000165095,0.000165095,0.000165095
88,10514.7,0.59246,0.65989,0.90762,0.48684,0.37811,0.37655,0.31739,0.74121,1.36104,0.99945,0.000154096,0.000154096,0.000154096
89,10633.7,0.56549,0.616,0.90087,0.55711,0.36524,0.38925,0.32767,0.73022,1.34806,0.99646,0.000143097,0.000143097,0.000143097
90,10753,0.55938,0.60275,0.89748,0.58008,0.35515,0.39414,0.33177,0.72644,1.32447,0.99587,0.000132098,0.000132098,0.000132098
91,10873.5,0.58685,0.63602,0.88834,0.53118,0.36455,0.36883,0.30869,0.74403,1.37428,1.00884,0.000121099,0.000121099,0.000121099
92,10986.5,0.58651,0.6096,0.88452,0.58459,0.35148,0.37562,0.31558,0.73641,1.37206,1.0047,0.0001101,0.0001101,0.0001101
93,11102.3,0.58307,0.5861,0.88259,0.52237,0.37254,0.3777,0.31607,0.74236,1.37808,1.00508,9.91012e-05,9.91012e-05,9.91012e-05
94,11214.3,0.56673,0.57619,0.8725,0.61012,0.34555,0.38693,0.32658,0.74106,1.35807,1.00181,8.81023e-05,8.81023e-05,8.81023e-05
95,11327.8,0.56361,0.5869,0.87879,0.54743,0.35855,0.38552,0.32576,0.74541,1.38105,1.00761,7.71034e-05,7.71034e-05,7.71034e-05
96,11438.9,0.56334,0.5715,0.87689,0.55138,0.36716,0.39004,0.32791,0.74386,1.35699,1.00707,6.61045e-05,6.61045e-05,6.61045e-05
97,11550.7,0.57281,0.57599,0.88045,0.56483,0.36186,0.39142,0.32758,0.73502,1.34487,1.00311,5.51056e-05,5.51056e-05,5.51056e-05
98,11661.3,0.57339,0.56721,0.87592,0.598,0.34942,0.39208,0.32939,0.7297,1.3425,1.0005,4.41067e-05,4.41067e-05,4.41067e-05
99,11775.1,0.55237,0.54947,0.86436,0.57677,0.35645,0.39339,0.33264,0.72763,1.33652,1.00037,3.31078e-05,3.31078e-05,3.31078e-05
100,11891,0.55956,0.54609,0.86925,0.602,0.34688,0.39345,0.3303,0.72846,1.34714,1.00027,2.21089e-05,2.21089e-05,2.21089e-05
